Video;Start_Timestamp;Participant;Valence;Arousal;Dominace;Viewed
baseline.m4v;Di 27 Feb 2024 09:11:12 CET;1;;;;
1.m4v;Di 27 Feb 2024 09:15:54 CET;1;1;1;1;0
baseline.m4v;Di 27 Feb 2024 09:20:03 CET;1;;;;
2.m4v;Di 27 Feb 2024 09:21:09 CET;1;0;-1;1;0
baseline.m4v;Di 27 Feb 2024 09:24:12 CET;1;;;;
3.m4v;Di 27 Feb 2024 09:25:16 CET;1;1;1;1;1
baseline.m4v;Di 27 Feb 2024 09:31:56 CET;1;;;;
4.m4v;Di 27 Feb 2024 09:33:07 CET;1;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 09:37:22 CET;1;;;;
5.m4v;Di 27 Feb 2024 09:38:31 CET;1;-1;0;0;0
baseline.m4v;Di 27 Feb 2024 09:41:18 CET;1;;;;
6.m4v;Di 27 Feb 2024 09:42:24 CET;1;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 09:45:52 CET;1;;;;
7.m4v;Di 27 Feb 2024 09:46:57 CET;1;1;1;0;1
baseline.m4v;Di 27 Feb 2024 09:51:47 CET;1;;;;
8.m4v;Di 27 Feb 2024 09:52:54 CET;1;-1;1;0;0
baseline.m4v;Di 27 Feb 2024 09:59:50 CET;1;;;;
9.m4v;Di 27 Feb 2024 10:00:58 CET;1;-1;1;1;0
baseline.m4v;Di 27 Feb 2024 10:10:30 CET;2;;;;
1.m4v;Di 27 Feb 2024 10:13:35 CET;2;0;-1;1;0
baseline.m4v;Di 27 Feb 2024 10:17:36 CET;2;;;;
2.m4v;Di 27 Feb 2024 10:18:45 CET;2;1;-1;1;0
baseline.m4v;Di 27 Feb 2024 10:21:26 CET;2;;;;
3.m4v;Di 27 Feb 2024 10:22:29 CET;2;1;0;0;1
baseline.m4v;Di 27 Feb 2024 10:30:24 CET;2;;;;
4.m4v;Di 27 Feb 2024 10:31:29 CET;2;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 10:35:14 CET;2;;;;
5.m4v;Di 27 Feb 2024 10:36:17 CET;2;1;0;1;0
baseline.m4v;Di 27 Feb 2024 10:39:15 CET;2;;;;
6.m4v;Di 27 Feb 2024 10:40:19 CET;2;1;0;-1;0
baseline.m4v;Di 27 Feb 2024 10:44:06 CET;2;;;;
7.m4v;Di 27 Feb 2024 10:45:14 CET;2;1;-1;1;1
baseline.m4v;Di 27 Feb 2024 10:49:02 CET;2;;;;
8.m4v;Di 27 Feb 2024 10:50:05 CET;2;0;-1;1;0
baseline.m4v;Di 27 Feb 2024 10:57:35 CET;2;;;;
9.m4v;Di 27 Feb 2024 10:58:38 CET;2;-1;-1;1;0
baseline.m4v;Di 27 Feb 2024 11:08:11 CET;3;;;;
1.m4v;Di 27 Feb 2024 11:11:16 CET;3;-1;-1;1;0
baseline.m4v;Di 27 Feb 2024 11:15:42 CET;3;;;;
2.m4v;Di 27 Feb 2024 11:16:47 CET;3;0;0;0;0
baseline.m4v;Di 27 Feb 2024 11:19:50 CET;3;;;;
3.m4v;Di 27 Feb 2024 11:20:55 CET;3;1;0;1;1
baseline.m4v;Di 27 Feb 2024 11:28:09 CET;3;;;;
4.m4v;Di 27 Feb 2024 11:29:20 CET;3;-1;1;0;0
baseline.m4v;Di 27 Feb 2024 11:33:00 CET;3;;;;
5.m4v;Di 27 Feb 2024 11:34:05 CET;3;-1;-1;1;1
baseline.m4v;Di 27 Feb 2024 11:37:48 CET;3;;;;
6.m4v;Di 27 Feb 2024 11:38:52 CET;3;-1;1;0;0
baseline.m4v;Di 27 Feb 2024 11:43:01 CET;3;;;;
7.m4v;Di 27 Feb 2024 11:44:08 CET;3;1;-1;1;1
baseline.m4v;Di 27 Feb 2024 11:48:00 CET;3;;;;
8.m4v;Di 27 Feb 2024 11:49:05 CET;3;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 11:56:09 CET;3;;;;
9.m4v;Di 27 Feb 2024 11:57:15 CET;3;-1;-1;1;0
baseline.m4v;Di 27 Feb 2024 13:16:55 CET;4;;;;
1.m4v;Di 27 Feb 2024 13:21:58 CET;4;0;-1;1;0
baseline.m4v;Di 27 Feb 2024 13:26:40 CET;4;;;;
2.m4v;Di 27 Feb 2024 13:27:45 CET;4;1;-1;1;0
baseline.m4v;Di 27 Feb 2024 13:31:10 CET;4;;;;
3.m4v;Di 27 Feb 2024 13:32:13 CET;4;1;-1;-1;1
baseline.m4v;Di 27 Feb 2024 13:38:43 CET;4;;;;
4.m4v;Di 27 Feb 2024 13:39:49 CET;4;-1;1;1;0
baseline.m4v;Di 27 Feb 2024 13:43:07 CET;4;;;;
5.m4v;Di 27 Feb 2024 13:44:15 CET;4;1;0;1;1
baseline.m4v;Di 27 Feb 2024 13:47:17 CET;4;;;;
6.m4v;Di 27 Feb 2024 13:48:22 CET;4;1;-1;0;0
baseline.m4v;Di 27 Feb 2024 13:52:00 CET;4;;;;
7.m4v;Di 27 Feb 2024 13:53:04 CET;4;1;-1;1;1
baseline.m4v;Di 27 Feb 2024 13:56:49 CET;4;;;;
8.m4v;Di 27 Feb 2024 13:57:53 CET;4;-1;1;0;0
baseline.m4v;Di 27 Feb 2024 14:04:57 CET;4;;;;
9.m4v;Di 27 Feb 2024 14:06:04 CET;4;-1;-1;-1;0
baseline.m4v;Di 27 Feb 2024 14:14:46 CET;5;;;;
1.m4v;Di 27 Feb 2024 14:19:37 CET;5;1;-1;-1;0
baseline.m4v;Di 27 Feb 2024 14:23:43 CET;5;;;;
2.m4v;Di 27 Feb 2024 14:24:49 CET;5;-1;0;1;0
baseline.m4v;Di 27 Feb 2024 14:27:28 CET;5;;;;
3.m4v;Di 27 Feb 2024 14:28:34 CET;5;1;1;0;1
baseline.m4v;Di 27 Feb 2024 14:35:06 CET;5;;;;
4.m4v;Di 27 Feb 2024 14:36:12 CET;5;-1;1;0;1
baseline.m4v;Di 27 Feb 2024 14:39:32 CET;5;;;;
5.m4v;Di 27 Feb 2024 14:40:38 CET;5;-1;1;0;1
baseline.m4v;Di 27 Feb 2024 14:43:30 CET;5;;;;
6.m4v;Di 27 Feb 2024 14:44:38 CET;5;1;1;-1;0
baseline.m4v;Di 27 Feb 2024 14:48:14 CET;5;;;;
7.m4v;Di 27 Feb 2024 14:49:21 CET;5;1;0;-1;0
baseline.m4v;Di 27 Feb 2024 14:52:55 CET;5;;;;
8.m4v;Di 27 Feb 2024 14:55:07 CET;5;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 15:02:01 CET;5;;;;
9.m4v;Di 27 Feb 2024 15:12:30 CET;5;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 15:21:37 CET;6;;;;
1.m4v;Di 27 Feb 2024 15:26:12 CET;6;0;-1;1;0
baseline.m4v;Di 27 Feb 2024 15:30:09 CET;6;;;;
2.m4v;Di 27 Feb 2024 15:31:13 CET;6;0;1;-1;0
baseline.m4v;Di 27 Feb 2024 15:33:51 CET;6;;;;
3.m4v;Di 27 Feb 2024 15:34:56 CET;6;1;1;1;1
baseline.m4v;Di 27 Feb 2024 15:41:47 CET;6;;;;
4.m4v;Di 27 Feb 2024 15:42:52 CET;6;-1;1;-1;0
baseline.m4v;Di 27 Feb 2024 15:46:09 CET;6;;;;
5.m4v;Di 27 Feb 2024 15:48:08 CET;6;1;1;1;1
baseline.m4v;Di 27 Feb 2024 15:50:52 CET;6;;;;
6.m4v;Di 27 Feb 2024 15:51:59 CET;6;0;1;0;0
baseline.m4v;Di 27 Feb 2024 15:56:31 CET;6;;;;
7.m4v;Di 27 Feb 2024 15:57:35 CET;6;1;1;1;1
baseline.m4v;Di 27 Feb 2024 16:01:12 CET;6;;;;
